l1_category,l2_subcategory,l3_skill_name,l3_skill_id
Information Technology,Microsoft Development Tools,.NET Assemblies,KS126XS6CQCFGC3NG79X
Information Technology,Microsoft Development Tools,.NET Framework,KS1200B62W5ZF38RJ7TD
Information Technology,Microsoft Development Tools,.NET Framework 1,KS126XW78QJCF4TRV2X7
Information Technology,Microsoft Development Tools,.NET Framework 3,KS126XY68BNKXSBSLPYS
Information Technology,Microsoft Development Tools,.NET Framework 4,KS126XR63RKYVCKYDNBN
Information Technology,Microsoft Development Tools,.NET MAUI (Multi-Platform App UI),ES1A2175859F80D25163
Information Technology,Microsoft Development Tools,.NET Micro Framework,ES883256111E949945F1
Information Technology,Microsoft Development Tools,ADO.NET (Programming Language),KS1206T6DR6QD8JMTQY4
Information Technology,Microsoft Development Tools,ASP.NET,KS120026VL50QFWT2281
Information Technology,Microsoft Development Tools,ASP.NET Core,ESD3D2440C1EA13521F1
Information Technology,Microsoft Development Tools,ASP.NET Core MVC,ESD01424DDFB5DBF393F
Information Technology,Microsoft Development Tools,ASP.NET Extensions For AJAX,KS120P56T2RTSC0HS9S8
Information Technology,Microsoft Development Tools,ASP.NET MVC 5,ES4F9308FDC1CD3A66CF
Information Technology,Microsoft Development Tools,ASP.NET MVC Framework,KS120P66TSZZ3X8G19X1
Information Technology,Microsoft Development Tools,ASP.NET Razor,ESAFC9B9B186876E1204
Information Technology,Microsoft Development Tools,ASP.NET Web API,ES953681ACD477C14788
Information Technology,Microsoft Development Tools,Active Server Pages (ASP),KS120025ZGZCGLN7D345
Information Technology,Microsoft Development Tools,ActiveX,KS1205K5ZTG520GYS1HB
Information Technology,Microsoft Development Tools,ActiveX Data Objects,KS1205Q6J27P7BT4PPTQ
Information Technology,Microsoft Development Tools,Azure Service Fabric,ES3ED27455FB8FE5653B
Information Technology,Microsoft Development Tools,C Sharp Software,KS1219Y64Y4FLF8NML8B
Information Technology,Microsoft Development Tools,C# Fundamentals,KS1219X6NTQGYNV145GG
Information Technology,Microsoft Development Tools,CLR Profiler,KS1220S6B78XGDF4XTSH
Information Technology,Microsoft Development Tools,CSLA .NET (Software Development Framework),KS1220T77N5VP9CSHSX6
Information Technology,Microsoft Development Tools,Cassini,KS9L2W4QKXQBT99FT7V1
Information Technology,Microsoft Development Tools,ClickOnce,KS121YY71001KD307V6V
Information Technology,Microsoft Development Tools,Component Object Model (COM),KS7G7K873Z87GNGYHQKB
Information Technology,Microsoft Development Tools,Devart,KSKZA4TDNLRE0QSP615G
Information Technology,Microsoft Development Tools,Devforce,KS7OJOLBA02T3CTN2JU5
Information Technology,Microsoft Development Tools,DirectX (Software),KS122ZZ6WK3KY3TKBTTS
Information Technology,Microsoft Development Tools,Dotcover,KS696E91S6H8PCD3ZJJC
Information Technology,Microsoft Development Tools,Dottrace,KSQ4D6I8RV6IPRVUG47E
